product_url,category,product_name,stock_type,brand,price,discount,sale_price,description,size_and_fit,detaila_and_care,product_code,
https://www.net-a-porter.com/en-in/shop/product/saint-laurent/clothing/vests-and-gilets/silk-satin-and-pinstriped-wool-and-cotton-blend-vest/1647597327464514,coats and jackets,Silk-satin and pinstriped wool and cotton-blend vest,Low stock,SAINT LAURENT,"$1,735/ Approx. ₹144,924",0,"$1,735/ Approx. ₹144,924",Black,SAINT LAURENT's vest is made from pinstriped wool and cotton-blend contrasted by lustrous silk-satin at the back to ensure a smooth finish whether worn solo or layered under one of the label's sharp blazers. It's designed for a close fit and comes to a slightly cropped hem.,"Size & Fit
Fits true to size, take your normal size
Those with a large bust may wish to take the next size up
Designed for a close fit
Lightweight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a FR 38
View size guide","Black silk-satin, black and white wool and cotton-blend 
Button fastenings through front  
98% wool, 2% cotton; trim: 100% silk; lining: 90% silk, 10% elastane 
Dry clean",1647597327464514
https://www.net-a-porter.com/en-in/shop/product/the-row/clothing/blazers/marina-oversized-wool-blazer/1647597332737226,coats and jackets,Marina oversized wool blazer,Low stock,THE ROW,"$4,631/ Approx. ₹386,826",0,"$4,631/ Approx. ₹386,826",Taupe,"Favored for good reason, The Row's tailoring only gets better upon closer look - those with a discerning eye would notice the array of weaving techniques used to create this 'Marina' blazer. It's made from wool and has an oversized fit with padded shoulders for structure. Complete the set with pants in the same taupe shade.","Size & Fit
Fits true to size, take your normal size
Designed for an oversized fit, cut to be worn very loose
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a size Small
Model measurements:
Bust: 78cm/ 30.7""
Waist: 62cm/ 24.4""
Hip: 92cm/ 36""
View size guide","Taupe wool 
Button fastenings through front 
100% wool; buttons: 100% horn (Buffalo); lining: 100% silk 
Dry clean",1647597332737226
https://www.net-a-porter.com/en-in/shop/product/loro-piana/clothing/casual-jackets/belted-wool-blend-jacket/1647597333287436,coats and jackets,Belted wool-blend jacket,One left,LORO PIANA,"$3,513/ Approx. ₹293,440",0,"$3,513/ Approx. ₹293,440",Gray,"Loro Piana's jacket is made from a wool-blend with touches of cotton, silk and linen, ensuring it's particularly breathable and drapes nicely. Left unlined for lightness, it's designed with a neck tab and has a D-ring belt to cinch in the loose shape. Wear yours with the coordinating pants and slides.","Size & Fit
Fits true to size, take your normal size
Tailored for a relaxed fit
Lightweight, non-stretchy fabric
Model is 180cm/ 5'11"" and is wearing an IT 40
Model measurements:
Bust: 78.7cm/ 31""
Waist: 62.2cm/ 24.5""
Hip: 86.4cm/ 34""
View size guide","Mushroom and ivory wool-blend  
Button fastenings through front  
59% wool, 20% cotton, 15% silk, 6% linen; buttons: 100% horn (Buffalo) 
Dry clean  
Designer color: Pepper Powder",1647597333287436
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/trench-coats/belted-cotton-gabardine-trench-coat/1647597325160737,coats and jackets,Belted cotton-gabardine trench coat,,BURBERRY,"$4,488/ Approx. ₹374,881",0,"$4,488/ Approx. ₹374,881",Ivory,Burberry's trench coats require little introduction - the first one was created by founder Thomas Burberry over a century ago and it's been a signature style of the brand since. This classic version is made from cotton-gabardine and has the iconic checked lining that dates back to 1920. The double-breasted design is complete with cuff tabs and a self-tie belt to cinch the waist.,"Size & Fit
Fits true to size, take your normal size
Designed for a loose fit, use the tie belt to cinch in at the waist
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a UK 8
View size guide","Ivory cotton-gabardine 
Button fastenings through double-breasted front 
100% cotton 
Dry clean 
Designer color: Calico",1647597325160737
https://www.net-a-porter.com/en-in/shop/product/blaze-milano/clothing/casual-jackets/narida-maya-oversized-denim-jacket/1647597333319226,coats and jackets,Narida Maya oversized denim jacket,One left,BLAZÉ MILANO,"$1,142/ Approx. ₹95,391",0,"$1,142/ Approx. ₹95,391",Light denim,"Fans of Blazé Milano will quickly recognize the signature 'Smiley' pockets on its 'Narida Maya' jacket. It's cut from denim for an oversized fit with shoulder epaulettes and gold-tone knotted buttons, blending polished Italian style with industrial influences.","Size & Fit
Size 00 = XXS, 0 = XS, 1 = S, 2 = M, 3 = L, 4 = XL
Fits true to size, take your normal size
Designed for an oversized fit, cut to be worn very loose
Mid-weight, non-stretchy denim
Model is 175cm/ 5'9"" and is wearing the designer's size 1
Model measurements:
Bust: 78cm/ 31""
Waist: 62cm/ 24.5""
Hip: 92cm/ 36""
View size guide","Blue denim 
Button fastenings through front  
100% cotton 
Machine wash",1647597333319226
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/trench-coats/double-breasted-belted-cotton-gabardine-jacket/1647597325160821,coats and jackets,Double-breasted belted cotton-gabardine jacket,,BURBERRY,"$4,260/ Approx. ₹356,087",0,"$4,260/ Approx. ₹356,087",Neutral,"Burberry scales down the details of its signature trench coats in this elegant jacket. Made from beige cotton-gabardine, it's designed with sleek notch lapels and a classic double-breasted front. Use the detachable belt to cinch the waist.","Size & Fit
Fits true to size, take your normal size
Designed for a relaxed fit and is sized for layering
Use the belt to cinch in at the waist
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a UK 8
View size guide","Beige cotton-gabardine 
Button fastenings through double breasted front  
100% cotton; buttons: 100% horn (Buffalo); lining1: 100% cotton; lining2: 100% viscose 
Dry clean 
Designer color: Flax",1647597325160821
https://www.net-a-porter.com/en-in/shop/product/the-row/clothing/knee-length/garth-oversized-cashmere-and-silk-blend-boucle-coat/1647597332771957,coats and jackets,Garth oversized cashmere and silk-blend bouclé coat,Low stock,THE ROW,"$14,104/ Approx. ₹1,178,931",0,"$14,104/ Approx. ₹1,178,931",Ivory,"This version of The Row's 'Garth' coat is made from cashmere and silk-blend bouclé that has a cozy handle and beautiful drape. Lined for added weight, it's designed for an oversized, enveloping fit and has minimal details aside from the internal and external pockets.","Size & Fit
Fits true to size, take your normal size
Designed for an oversized fit, cut to be worn very loose
Mid-weight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a size Small
Model measurements:
Bust: 79cm/ 31""
Waist: 61cm/ 24""
Hip: 89cm/ 35""
View size guide","Ivory cashmere and silk-blend bouclé 
Button fastenings through front 
92% cashmere, 8% silk; buttons: 100% horn (Buffalo); lining: 100% silk 
Dry clean",1647597332771957
https://www.net-a-porter.com/en-in/shop/product/the-row/clothing/blazers/marina-oversized-woven-blazer/1647597332748549,coats and jackets,Marina oversized woven blazer,TRENDING NOW,THE ROW,"$5,115/ Approx. ₹427,254",0,"$5,115/ Approx. ₹427,254",Yellow,"Favored for good reason, The Row's tailoring only gets better upon closer look - those with a discerning eye would notice the array of weaving techniques used to create this 'Marina' blazer. It's blended with hints of breathable cotton and silk and has an oversized fit with padded shoulders for structure. Complete the set with the matching pants in the same pastel-yellow shade.","Size & Fit
Fits true to size, however those who are between sizes should take the smaller size
Take the next size down if you wish to achieve a closer fit
Designed for an oversized fit, cut to be worn very loose
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size XSmall
View size guide","Pastel-yellow viscose, cotton and silk-blend 
Button fastenings through front 
53% viscose, 32% cotton, 15% silk; lining: 100% silk; buttons: 100% horn (Buffalo)",1647597332748549
https://www.net-a-porter.com/en-in/shop/product/the-row/clothing/blazers/phil-oversized-wool-blazer/1647597332737500,coats and jackets,Phil oversized wool blazer,,THE ROW,"$4,417/ Approx. ₹368,950",0,"$4,417/ Approx. ₹368,950",Gray,"The Row takes its name from the renowned Savile Row, so it's only natural that quality tailoring is a cornerstone of the brand's collections. This 'Phil' blazer is made from wool in an oversized shape with wide notch lapels and padded shoulders. The silk lining ensures smooth layering.","Size & Fit
Fits true to size, take your normal size
Designed for an oversized fit, cut to be worn very loose
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a size Small
Model measurements:
Bust: 79cm/ 31""
Waist: 61cm/ 24""
Hip: 89cm/ 35""
View size guide","Gray wool 
Button fastenings through front 
100% wool; lining: 100% silk; buttons: 100% horn 
Dry clean",1647597332737500
https://www.net-a-porter.com/en-in/shop/product/loewe/clothing/casual-jackets/leather-trimmed-denim-jacket/1647597325144537,coats and jackets,Leather-trimmed denim jacket,,LOEWE,"$2,209/ Approx. ₹184,492",0,"$2,209/ Approx. ₹184,492",Blue,"Loewe's take on the classic denim jacket features a sizable leather patch debossed with the logo and signature Anagram, so no one will mistake which house it belongs to. Cut for a slightly loose fit, it has patch pockets and ties that dangle past the step hem.","Size & Fit
Fits true to size, take your normal size
Designed for a slightly loose fit
Mid-weight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a FR 36
View size guide","Blue denim 
Button fastenings through front 
100% cotton; trim: 100% leather (Calf) 
Machine wash",1647597325144537
